username,rating,comment
muhammadjuandra,5,"Tampilan:ok banget cantik banget
Kualitas:ok lah sesuai dgn harga nya
Performa:bagus banget

cantik banget panci nya harga nya murah tapi gak murahan bahan lumayan tebal semoga awet pengiriman cepat dan kurir nya baik"
alvaro.maulana,5,"Tampilan:Keren
Kualitas:bagus banget
Performa:cantik elegan

1set panci sudah datang ,terimaksih Hongzhuo official mantap,, bakal jadi langganan ,produk nya aman lengkap packing nya juga oke, pengiriman cepat.."
nurhayati2607,5,"Tampilan:Tampilan Bagus sekali, tidak tipis
Kualitas:Kualitas bagus
Performa:Performa standar, SARAN JANGAN PAKAI API BESAR KARENA BISA MELELEH PEGANGANNYA. Lebih hati-hati memasaknya dan atur besar kecilnya api agar awet.

Terimakasih"
i*****4,5,"Kualitas:Bagus
Performa:Bagus
Tampilan:Bagus

Alhamdulillah pesanan sudah datang.....panci set nya bagus sekaliiii sesuai pesanan warna biru dong.... tidak ad yg lecet packing aman dan sudah saya coba Alhamdulillah sangat memuaskan... pengiriman cepat dan seller ramah.. terimakasih"
ziesuno70411,5,"Tampilan:bagua sesuai foto
Performa:belum dipakai
Kualitas:smoiga aman buat kesehatan

Ukurannya pas buat keluarga yang jumlah manusianya ga bgitu banyak, warnanya cute banget biru, dpt bonusan alat masak"
kinkinoe,5,"Performa:bagus
Kualitas:semoga bagus belum coba
Tampilan:menarik

Maaf ya admin GK ada video unboxing.nya ,,karna rusuh d ganggu bocil hp nyaa ,, untuk yg mau beliin jgn raguu ,, packing aman ,barang GK ada kerusakan/kekurangan ,, trimakassiih shoppe and admin ❤️❤️"
desia_inthan,5,"Tampilan:ok
Kualitas:ok
Performa:ok

Akhirnya barang yg ditunggu² datang juga.semoga awet 😘😘😘😘sesuai permintaan barangnya juga ok tokonya amanah banget.kurirnya udah langganan makasih pak kurirnya makasih Shopee dan makasih juga buat yg punya toko🥰🥰🥰🥰"
titikherniati18_,5,"Performa:sangat estetic
Tampilan:Bagus sesuai
Kualitas:baik

Ga expect bakal sebagus ini harga nya worth it pengiriman sangat safety bnr bnr double bahkan triple bable wrap nya hihii trs pengiriman nya cepat makasih seller"
muhma053,5,"Performa:sangat baik
Kualitas:baik
Tampilan:sangat menarik

Alhamdulillah paketan ku dtg dgn selamat,,barang nya bgus tidak ad yg rusak hrganya pun sangat murah , mendukung banget d kantong😁😁 Alhamdulillah puass bnget blnja d toko ini😘😘nerx order selanjutnya"
dewisardi025,5,"Tampilan:menarik,wrna ungu mmng wrna kesukaan bgt,,,cck untuk msk apa aj
Performa:baik,,,sesuai dgn yg di live nya..smga brg awet dn berfungsi dgn baik
Kualitas:kualitas sesuai dgn harga yg tertera,blm di cba sih,smga aja bnran gk nempel kl untuk menggoreng,,,"
milawatimilla,5,"Kualitas:Baik
Performa:Baik
Tampilan:Baik dan Rapi bgt

Pesanan sesuai sm yg di pesan 13 pieces CooKware set wrn Ungu cara pecking nya jg sangat rapi bgt ada 2 lapisan bubble nya klw pengiriman lumayan cepat lach 4 Hr sdh sampai ke BANJARMASIN dengan selamat dan baik mngkn krn luar daerah pulau Jawa dan saya daerah pulau Kalimantan jd agak lama dikit lach Nexs kpn2 bisa order disini lg🙏🙏🙏🙏"
